"N","min(displacement (0))","q1(displacement (0))","med(displacement (0))","q3(displacement (0))","max(displacement (0))","avg(displacement (0))","std(displacement (0))","min(displacement (1))","q1(displacement (1))","med(displacement (1))","q3(displacement (1))","max(displacement (1))","avg(displacement (1))","std(displacement (1))","min(displacement (2))","q1(displacement (2))","med(displacement (2))","q3(displacement (2))","max(displacement (2))","avg(displacement (2))","std(displacement (2))","min(displacement (Magnitude))","q1(displacement (Magnitude))","med(displacement (Magnitude))","q3(displacement (Magnitude))","max(displacement (Magnitude))","avg(displacement (Magnitude))","std(displacement (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,-6.75223e-05,-6.75223e-05,-6.75223e-05,-6.75223e-05,-6.75223e-05,-6.75223e-05,0,0.000137604,0.000137604,0.000137604,0.000137604,0.000137604,0.000137604,0,0.0001532779234,0.0001532779234,0.0001532779234,0.0001532779234,0.0001532779234,0.0001532779234,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,20
1,0,0,0,0,0,0,0,-7.50527e-05,-7.50527e-05,-7.50527e-05,-7.50527e-05,-7.50527e-05,-7.50527e-05,0,0.000151099,0.000151099,0.000151099,0.000151099,0.000151099,0.000151099,0,0.0001687122271,0.0001687122271,0.0001687122271,0.0001687122271,0.0001687122271,0.0001687122271,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,21
1,0,0,0,0,0,0,0,-8.26852e-05,-8.26852e-05,-8.26852e-05,-8.26852e-05,-8.26852e-05,-8.26852e-05,0,0.000165518,0.000165518,0.000165518,0.000165518,0.000165518,0.000165518,0,0.0001850217572,0.0001850217572,0.0001850217572,0.0001850217572,0.0001850217572,0.0001850217572,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,22
1,0,0,0,0,0,0,0,-9.03978e-05,-9.03978e-05,-9.03978e-05,-9.03978e-05,-9.03978e-05,-9.03978e-05,0,0.000180881,0.000180881,0.000180881,0.000180881,0.000180881,0.000180881,0,0.0002022120135,0.0002022120135,0.0002022120135,0.0002022120135,0.0002022120135,0.0002022120135,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,23
1,0,0,0,0,0,0,0,-9.81889e-05,-9.81889e-05,-9.81889e-05,-9.81889e-05,-9.81889e-05,-9.81889e-05,0,0.000197192,0.000197192,0.000197192,0.000197192,0.000197192,0.000197192,0,0.0002202855986,0.0002202855986,0.0002202855986,0.0002202855986,0.0002202855986,0.0002202855986,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,24
1,0,0,0,0,0,0,0,-0.000106077,-0.000106077,-0.000106077,-0.000106077,-0.000106077,-0.000106077,0,0.000214431,0.000214431,0.000214431,0.000214431,0.000214431,0.000214431,0,0.0002392341608,0.0002392341608,0.0002392341608,0.0002392341608,0.0002392341608,0.0002392341608,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,25
1,0,0,0,0,0,0,0,-0.0001141,-0.0001141,-0.0001141,-0.0001141,-0.0001141,-0.0001141,0,0.000232561,0.000232561,0.000232561,0.000232561,0.000232561,0.000232561,0,0.0002590432951,0.0002590432951,0.0002590432951,0.0002590432951,0.0002590432951,0.0002590432951,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,26
1,0,0,0,0,0,0,0,-0.00012231,-0.00012231,-0.00012231,-0.00012231,-0.00012231,-0.00012231,0,0.000251529,0.000251529,0.000251529,0.000251529,0.000251529,0.000251529,0,0.0002796901392,0.0002796901392,0.0002796901392,0.0002796901392,0.0002796901392,0.0002796901392,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,27
1,0,0,0,0,0,0,0,-0.000130773,-0.000130773,-0.000130773,-0.000130773,-0.000130773,-0.000130773,0,0.000271269,0.000271269,0.000271269,0.000271269,0.000271269,0.000271269,0,0.0003011452272,0.0003011452272,0.0003011452272,0.0003011452272,0.0003011452272,0.0003011452272,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,28
1,0,0,0,0,0,0,0,-0.000139561,-0.000139561,-0.000139561,-0.000139561,-0.000139561,-0.000139561,0,0.000291711,0.000291711,0.000291711,0.000291711,0.000291711,0.000291711,0,0.0003233768394,0.0003233768394,0.0003233768394,0.0003233768394,0.0003233768394,0.0003233768394,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,29
1,0,0,0,0,0,0,0,-0.000148748,-0.000148748,-0.000148748,-0.000148748,-0.000148748,-0.000148748,0,0.000312779,0.000312779,0.000312779,0.000312779,0.000312779,0.000312779,0,0.0003463476149,0.0003463476149,0.0003463476149,0.0003463476149,0.0003463476149,0.0003463476149,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,30
1,0,0,0,0,0,0,0,-0.000158401,-0.000158401,-0.000158401,-0.000158401,-0.000158401,-0.000158401,0,0.000334406,0.000334406,0.000334406,0.000334406,0.000334406,0.000334406,0,0.0003700246608,0.0003700246608,0.0003700246608,0.0003700246608,0.0003700246608,0.0003700246608,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,31
1,0,0,0,0,0,0,0,-0.00016858,-0.00016858,-0.00016858,-0.00016858,-0.00016858,-0.00016858,0,0.000356532,0.000356532,0.000356532,0.000356532,0.000356532,0.000356532,0,0.0003943783506,0.0003943783506,0.0003943783506,0.0003943783506,0.0003943783506,0.0003943783506,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,32
1,0,0,0,0,0,0,0,-0.000179331,-0.000179331,-0.000179331,-0.000179331,-0.000179331,-0.000179331,0,0.000379113,0.000379113,0.000379113,0.000379113,0.000379113,0.000379113,0,0.0004193879759,0.0004193879759,0.0004193879759,0.0004193879759,0.0004193879759,0.0004193879759,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,33
1,0,0,0,0,0,0,0,-0.000190681,-0.000190681,-0.000190681,-0.000190681,-0.000190681,-0.000190681,0,0.000402121,0.000402121,0.000402121,0.000402121,0.000402121,0.000402121,0,0.0004450399335,0.0004450399335,0.0004450399335,0.0004450399335,0.0004450399335,0.0004450399335,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,34
1,0,0,0,0,0,0,0,-0.000202637,-0.000202637,-0.000202637,-0.000202637,-0.000202637,-0.000202637,0,0.000425547,0.000425547,0.000425547,0.000425547,0.000425547,0.000425547,0,0.0004713300362,0.0004713300362,0.0004713300362,0.0004713300362,0.0004713300362,0.0004713300362,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,35
1,0,0,0,0,0,0,0,-0.000215187,-0.000215187,-0.000215187,-0.000215187,-0.000215187,-0.000215187,0,0.000449406,0.000449406,0.000449406,0.000449406,0.000449406,0.000449406,0,0.0004982681987,0.0004982681987,0.0004982681987,0.0004982681987,0.0004982681987,0.0004982681987,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,36
1,0,0,0,0,0,0,0,-0.000228297,-0.000228297,-0.000228297,-0.000228297,-0.000228297,-0.000228297,0,0.00047373,0.00047373,0.00047373,0.00047373,0.00047373,0.00047373,0,0.0005258703577,0.0005258703577,0.0005258703577,0.0005258703577,0.0005258703577,0.0005258703577,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,37
1,0,0,0,0,0,0,0,-0.00024192,-0.00024192,-0.00024192,-0.00024192,-0.00024192,-0.00024192,0,0.000498566,0.000498566,0.000498566,0.000498566,0.000498566,0.000498566,0,0.0005541600335,0.0005541600335,0.0005541600335,0.0005541600335,0.0005541600335,0.0005541600335,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,38
1,0,0,0,0,0,0,0,-0.000255993,-0.000255993,-0.000255993,-0.000255993,-0.000255993,-0.000255993,0,0.000523979,0.000523979,0.000523979,0.000523979,0.000523979,0.000523979,0,0.0005831692794,0.0005831692794,0.0005831692794,0.0005831692794,0.0005831692794,0.0005831692794,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,39
1,0,0,0,0,0,0,0,-0.000270445,-0.000270445,-0.000270445,-0.000270445,-0.000270445,-0.000270445,0,0.000550037,0.000550037,0.000550037,0.000550037,0.000550037,0.000550037,0,0.0006129283803,0.0006129283803,0.0006129283803,0.0006129283803,0.0006129283803,0.0006129283803,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,40
1,0,0,0,0,0,0,0,-0.000285203,-0.000285203,-0.000285203,-0.000285203,-0.000285203,-0.000285203,0,0.000576815,0.000576815,0.000576815,0.000576815,0.000576815,0.000576815,0,0.0006434720627,0.0006434720627,0.0006434720627,0.0006434720627,0.0006434720627,0.0006434720627,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,41
1,0,0,0,0,0,0,0,-0.000300196,-0.000300196,-0.000300196,-0.000300196,-0.000300196,-0.000300196,0,0.000604384,0.000604384,0.000604384,0.000604384,0.000604384,0.000604384,0,0.0006748315774,0.0006748315774,0.0006748315774,0.0006748315774,0.0006748315774,0.0006748315774,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,42
1,0,0,0,0,0,0,0,-0.000315361,-0.000315361,-0.000315361,-0.000315361,-0.000315361,-0.000315361,0,0.000632805,0.000632805,0.000632805,0.000632805,0.000632805,0.000632805,0,0.000707032339,0.000707032339,0.000707032339,0.000707032339,0.000707032339,0.000707032339,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,43
1,0,0,0,0,0,0,0,-0.000330649,-0.000330649,-0.000330649,-0.000330649,-0.000330649,-0.000330649,0,0.000662129,0.000662129,0.000662129,0.000662129,0.000662129,0.000662129,0,0.000740097003,0.000740097003,0.000740097003,0.000740097003,0.000740097003,0.000740097003,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,44
1,0,0,0,0,0,0,0,-0.000346026,-0.000346026,-0.000346026,-0.000346026,-0.000346026,-0.000346026,0,0.000692388,0.000692388,0.000692388,0.000692388,0.000692388,0.000692388,0,0.0007740382001,0.0007740382001,0.0007740382001,0.0007740382001,0.0007740382001,0.0007740382001,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,45
1,0,0,0,0,0,0,0,-0.00036148,-0.00036148,-0.00036148,-0.00036148,-0.00036148,-0.00036148,0,0.000723596,0.000723596,0.000723596,0.000723596,0.000723596,0.000723596,0,0.0008088627582,0.0008088627582,0.0008088627582,0.0008088627582,0.0008088627582,0.0008088627582,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,46
1,0,0,0,0,0,0,0,-0.000377017,-0.000377017,-0.000377017,-0.000377017,-0.000377017,-0.000377017,0,0.000755746,0.000755746,0.000755746,0.000755746,0.000755746,0.000755746,0,0.0008445672471,0.0008445672471,0.0008445672471,0.0008445672471,0.0008445672471,0.0008445672471,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,47
1,0,0,0,0,0,0,0,-0.000392664,-0.000392664,-0.000392664,-0.000392664,-0.000392664,-0.000392664,0,0.000788811,0.000788811,0.000788811,0.000788811,0.000788811,0.000788811,0,0.000881140063,0.000881140063,0.000881140063,0.000881140063,0.000881140063,0.000881140063,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,48
1,0,0,0,0,0,0,0,-0.000408465,-0.000408465,-0.000408465,-0.000408465,-0.000408465,-0.000408465,0,0.000822747,0.000822747,0.000822747,0.000822747,0.000822747,0.000822747,0,0.0009185620732,0.0009185620732,0.0009185620732,0.0009185620732,0.0009185620732,0.0009185620732,0,7,7,7,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,49
