"N","min(displacement (0))","q1(displacement (0))","med(displacement (0))","q3(displacement (0))","max(displacement (0))","avg(displacement (0))","std(displacement (0))","min(displacement (1))","q1(displacement (1))","med(displacement (1))","q3(displacement (1))","max(displacement (1))","avg(displacement (1))","std(displacement (1))","min(displacement (2))","q1(displacement (2))","med(displacement (2))","q3(displacement (2))","max(displacement (2))","avg(displacement (2))","std(displacement (2))","min(displacement (Magnitude))","q1(displacement (Magnitude))","med(displacement (Magnitude))","q3(displacement (Magnitude))","max(displacement (Magnitude))","avg(displacement (Magnitude))","std(displacement (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,-0.00869081,-0.00869081,-0.00869081,-0.00869081,-0.00869081,-0.00869081,0,0,0,0,0,0,0,0,0.0176105,0.0176105,0.0176105,0.0176105,0.0176105,0.0176105,0,0.01963822519,0.01963822519,0.01963822519,0.01963822519,0.01963822519,0.01963822519,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,185
1,-0.00878353,-0.00878353,-0.00878353,-0.00878353,-0.00878353,-0.00878353,0,0,0,0,0,0,0,0,0.0178026,0.0178026,0.0178026,0.0178026,0.0178026,0.0178026,0,0.01985152302,0.01985152302,0.01985152302,0.01985152302,0.01985152302,0.01985152302,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,186
1,-0.00887643,-0.00887643,-0.00887643,-0.00887643,-0.00887643,-0.00887643,0,0,0,0,0,0,0,0,0.017996,0.017996,0.017996,0.017996,0.017996,0.017996,0,0.02006606652,0.02006606652,0.02006606652,0.02006606652,0.02006606652,0.02006606652,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,187
1,-0.00896959,-0.00896959,-0.00896959,-0.00896959,-0.00896959,-0.00896959,0,0,0,0,0,0,0,0,0.0181907,0.0181907,0.0181907,0.0181907,0.0181907,0.0181907,0,0.02028189122,0.02028189122,0.02028189122,0.02028189122,0.02028189122,0.02028189122,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,188
1,-0.00906314,-0.00906314,-0.00906314,-0.00906314,-0.00906314,-0.00906314,0,0,0,0,0,0,0,0,0.0183865,0.0183865,0.0183865,0.0183865,0.0183865,0.0183865,0,0.02049887531,0.02049887531,0.02049887531,0.02049887531,0.02049887531,0.02049887531,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,189
1,-0.00915722,-0.00915722,-0.00915722,-0.00915722,-0.00915722,-0.00915722,0,0,0,0,0,0,0,0,0.0185834,0.0185834,0.0185834,0.0185834,0.0185834,0.0185834,0,0.02071708072,0.02071708072,0.02071708072,0.02071708072,0.02071708072,0.02071708072,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,190
1,-0.00925196,-0.00925196,-0.00925196,-0.00925196,-0.00925196,-0.00925196,0,0,0,0,0,0,0,0,0.0187811,0.0187811,0.0187811,0.0187811,0.0187811,0.0187811,0,0.02093629578,0.02093629578,0.02093629578,0.02093629578,0.02093629578,0.02093629578,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,191
1,-0.00934747,-0.00934747,-0.00934747,-0.00934747,-0.00934747,-0.00934747,0,0,0,0,0,0,0,0,0.0189795,0.0189795,0.0189795,0.0189795,0.0189795,0.0189795,0,0.02115647928,0.02115647928,0.02115647928,0.02115647928,0.02115647928,0.02115647928,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,192
1,-0.00944382,-0.00944382,-0.00944382,-0.00944382,-0.00944382,-0.00944382,0,0,0,0,0,0,0,0,0.0191787,0.0191787,0.0191787,0.0191787,0.0191787,0.0191787,0,0.02137775175,0.02137775175,0.02137775175,0.02137775175,0.02137775175,0.02137775175,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,193
1,-0.00954105,-0.00954105,-0.00954105,-0.00954105,-0.00954105,-0.00954105,0,0,0,0,0,0,0,0,0.0193785,0.0193785,0.0193785,0.0193785,0.0193785,0.0193785,0,0.02159995133,0.02159995133,0.02159995133,0.02159995133,0.02159995133,0.02159995133,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,194
1,-0.00963915,-0.00963915,-0.00963915,-0.00963915,-0.00963915,-0.00963915,0,0,0,0,0,0,0,0,0.019579,0.019579,0.019579,0.019579,0.019579,0.019579,0,0.02182316324,0.02182316324,0.02182316324,0.02182316324,0.02182316324,0.02182316324,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,195
1,-0.00973806,-0.00973806,-0.00973806,-0.00973806,-0.00973806,-0.00973806,0,0,0,0,0,0,0,0,0.0197802,0.0197802,0.0197802,0.0197802,0.0197802,0.0197802,0,0.02204736094,0.02204736094,0.02204736094,0.02204736094,0.02204736094,0.02204736094,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,196
1,-0.0098377,-0.0098377,-0.0098377,-0.0098377,-0.0098377,-0.0098377,0,0,0,0,0,0,0,0,0.0199822,0.0199822,0.0199822,0.0199822,0.0199822,0.0199822,0,0.02227259882,0.02227259882,0.02227259882,0.02227259882,0.02227259882,0.02227259882,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,197
1,-0.00993793,-0.00993793,-0.00993793,-0.00993793,-0.00993793,-0.00993793,0,0,0,0,0,0,0,0,0.0201852,0.0201852,0.0201852,0.0201852,0.0201852,0.0201852,0,0.02249899446,0.02249899446,0.02249899446,0.02249899446,0.02249899446,0.02249899446,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,198
1,-0.0100386,-0.0100386,-0.0100386,-0.0100386,-0.0100386,-0.0100386,0,0,0,0,0,0,0,0,0.0203892,0.0203892,0.0203892,0.0203892,0.0203892,0.0203892,0,0.02272648162,0.02272648162,0.02272648162,0.02272648162,0.02272648162,0.02272648162,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,199
1,-0.0101396,-0.0101396,-0.0101396,-0.0101396,-0.0101396,-0.0101396,0,0,0,0,0,0,0,0,0.0205945,0.0205945,0.0205945,0.0205945,0.0205945,0.0205945,0,0.02295528084,0.02295528084,0.02295528084,0.02295528084,0.02295528084,0.02295528084,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,200
1,-0.0102409,-0.0102409,-0.0102409,-0.0102409,-0.0102409,-0.0102409,0,0,0,0,0,0,0,0,0.020801,0.020801,0.020801,0.020801,0.020801,0.020801,0,0.02318528917,0.02318528917,0.02318528917,0.02318528917,0.02318528917,0.02318528917,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,201
1,-0.0103422,-0.0103422,-0.0103422,-0.0103422,-0.0103422,-0.0103422,0,0,0,0,0,0,0,0,0.0210089,0.0210089,0.0210089,0.0210089,0.0210089,0.0210089,0,0.02341655355,0.02341655355,0.02341655355,0.02341655355,0.02341655355,0.02341655355,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,202
1,-0.0104437,-0.0104437,-0.0104437,-0.0104437,-0.0104437,-0.0104437,0,0,0,0,0,0,0,0,0.0212183,0.0212183,0.0212183,0.0212183,0.0212183,0.0212183,0,0.02364925209,0.02364925209,0.02364925209,0.02364925209,0.02364925209,0.02364925209,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,203
1,-0.0105452,-0.0105452,-0.0105452,-0.0105452,-0.0105452,-0.0105452,0,0,0,0,0,0,0,0,0.0214291,0.0214291,0.0214291,0.0214291,0.0214291,0.0214291,0,0.02388320686,0.02388320686,0.02388320686,0.02388320686,0.02388320686,0.02388320686,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,204
1,-0.0106468,-0.0106468,-0.0106468,-0.0106468,-0.0106468,-0.0106468,0,0,0,0,0,0,0,0,0.0216413,0.0216413,0.0216413,0.0216413,0.0216413,0.0216413,0,0.02411846214,0.02411846214,0.02411846214,0.02411846214,0.02411846214,0.02411846214,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,205
1,-0.0107487,-0.0107487,-0.0107487,-0.0107487,-0.0107487,-0.0107487,0,0,0,0,0,0,0,0,0.0218547,0.0218547,0.0218547,0.0218547,0.0218547,0.0218547,0,0.02435492689,0.02435492689,0.02435492689,0.02435492689,0.02435492689,0.02435492689,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,206
1,-0.0108509,-0.0108509,-0.0108509,-0.0108509,-0.0108509,-0.0108509,0,0,0,0,0,0,0,0,0.0220694,0.0220694,0.0220694,0.0220694,0.0220694,0.0220694,0,0.02459269093,0.02459269093,0.02459269093,0.02459269093,0.02459269093,0.02459269093,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,207
1,-0.0109536,-0.0109536,-0.0109536,-0.0109536,-0.0109536,-0.0109536,0,0,0,0,0,0,0,0,0.0222851,0.0222851,0.0222851,0.0222851,0.0222851,0.0222851,0,0.02483157335,0.02483157335,0.02483157335,0.02483157335,0.02483157335,0.02483157335,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,208
1,-0.0110568,-0.0110568,-0.0110568,-0.0110568,-0.0110568,-0.0110568,0,0,0,0,0,0,0,0,0.0225018,0.0225018,0.0225018,0.0225018,0.0225018,0.0225018,0,0.02507157413,0.02507157413,0.02507157413,0.02507157413,0.02507157413,0.02507157413,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,209
1,-0.0111608,-0.0111608,-0.0111608,-0.0111608,-0.0111608,-0.0111608,0,0,0,0,0,0,0,0,0.0227193,0.0227193,0.0227193,0.0227193,0.0227193,0.0227193,0,0.02531264603,0.02531264603,0.02531264603,0.02531264603,0.02531264603,0.02531264603,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,210
1,-0.0112656,-0.0112656,-0.0112656,-0.0112656,-0.0112656,-0.0112656,0,0,0,0,0,0,0,0,0.0229375,0.0229375,0.0229375,0.0229375,0.0229375,0.0229375,0,0.02555469917,0.02555469917,0.02555469917,0.02555469917,0.02555469917,0.02555469917,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,211
1,-0.0113713,-0.0113713,-0.0113713,-0.0113713,-0.0113713,-0.0113713,0,0,0,0,0,0,0,0,0.0231564,0.0231564,0.0231564,0.0231564,0.0231564,0.0231564,0,0.02579777751,0.02579777751,0.02579777751,0.02579777751,0.02579777751,0.02579777751,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,212
1,-0.0114778,-0.0114778,-0.0114778,-0.0114778,-0.0114778,-0.0114778,0,0,0,0,0,0,0,0,0.0233759,0.0233759,0.0233759,0.0233759,0.0233759,0.0233759,0,0.02604174713,0.02604174713,0.02604174713,0.02604174713,0.02604174713,0.02604174713,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,213
1,-0.0115852,-0.0115852,-0.0115852,-0.0115852,-0.0115852,-0.0115852,0,0,0,0,0,0,0,0,0.0235961,0.0235961,0.0235961,0.0235961,0.0235961,0.0235961,0,0.0262867418,0.0262867418,0.0262867418,0.0262867418,0.0262867418,0.0262867418,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,214
1,-0.0116933,-0.0116933,-0.0116933,-0.0116933,-0.0116933,-0.0116933,0,0,0,0,0,0,0,0,0.0238172,0.0238172,0.0238172,0.0238172,0.0238172,0.0238172,0,0.02653285286,0.02653285286,0.02653285286,0.02653285286,0.02653285286,0.02653285286,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,215
1,-0.0118021,-0.0118021,-0.0118021,-0.0118021,-0.0118021,-0.0118021,0,0,0,0,0,0,0,0,0.0240391,0.0240391,0.0240391,0.0240391,0.0240391,0.0240391,0,0.02677999054,0.02677999054,0.02677999054,0.02677999054,0.02677999054,0.02677999054,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,216
1,-0.0119113,-0.0119113,-0.0119113,-0.0119113,-0.0119113,-0.0119113,0,0,0,0,0,0,0,0,0.024262,0.024262,0.024262,0.024262,0.024262,0.024262,0,0.02702820215,0.02702820215,0.02702820215,0.02702820215,0.02702820215,0.02702820215,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,217
1,-0.012021,-0.012021,-0.012021,-0.012021,-0.012021,-0.012021,0,0,0,0,0,0,0,0,0.0244861,0.0244861,0.0244861,0.0244861,0.0244861,0.0244861,0,0.02727771131,0.02727771131,0.02727771131,0.02727771131,0.02727771131,0.02727771131,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,218
1,-0.0121309,-0.0121309,-0.0121309,-0.0121309,-0.0121309,-0.0121309,0,0,0,0,0,0,0,0,0.0247114,0.0247114,0.0247114,0.0247114,0.0247114,0.0247114,0,0.0275283858,0.0275283858,0.0275283858,0.0275283858,0.0275283858,0.0275283858,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,219
1,-0.012241,-0.012241,-0.012241,-0.012241,-0.012241,-0.012241,0,0,0,0,0,0,0,0,0.0249381,0.0249381,0.0249381,0.0249381,0.0249381,0.0249381,0,0.02778040519,0.02778040519,0.02778040519,0.02778040519,0.02778040519,0.02778040519,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,220
1,-0.0123511,-0.0123511,-0.0123511,-0.0123511,-0.0123511,-0.0123511,0,0,0,0,0,0,0,0,0.0251663,0.0251663,0.0251663,0.0251663,0.0251663,0.0251663,0,0.02803377119,0.02803377119,0.02803377119,0.02803377119,0.02803377119,0.02803377119,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,221
1,-0.0124613,-0.0124613,-0.0124613,-0.0124613,-0.0124613,-0.0124613,0,0,0,0,0,0,0,0,0.0253958,0.0253958,0.0253958,0.0253958,0.0253958,0.0253958,0,0.0282883484,0.0282883484,0.0282883484,0.0282883484,0.0282883484,0.0282883484,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,222
1,-0.0125716,-0.0125716,-0.0125716,-0.0125716,-0.0125716,-0.0125716,0,0,0,0,0,0,0,0,0.0256268,0.0256268,0.0256268,0.0256268,0.0256268,0.0256268,0,0.02854431651,0.02854431651,0.02854431651,0.02854431651,0.02854431651,0.02854431651,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,223
1,-0.0126821,-0.0126821,-0.0126821,-0.0126821,-0.0126821,-0.0126821,0,0,0,0,0,0,0,0,0.0258592,0.0258592,0.0258592,0.0258592,0.0258592,0.0258592,0,0.0288016299,0.0288016299,0.0288016299,0.0288016299,0.0288016299,0.0288016299,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,224
1,-0.0127928,-0.0127928,-0.0127928,-0.0127928,-0.0127928,-0.0127928,0,0,0,0,0,0,0,0,0.0260927,0.0260927,0.0260927,0.0260927,0.0260927,0.0260927,0,0.02906001936,0.02906001936,0.02906001936,0.02906001936,0.02906001936,0.02906001936,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,225
1,-0.012904,-0.012904,-0.012904,-0.012904,-0.012904,-0.012904,0,0,0,0,0,0,0,0,0.0263274,0.0263274,0.0263274,0.0263274,0.0263274,0.0263274,0,0.0293197068,0.0293197068,0.0293197068,0.0293197068,0.0293197068,0.0293197068,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,226
1,-0.0130157,-0.0130157,-0.0130157,-0.0130157,-0.0130157,-0.0130157,0,0,0,0,0,0,0,0,0.0265631,0.0265631,0.0265631,0.0265631,0.0265631,0.0265631,0,0.02958051264,0.02958051264,0.02958051264,0.02958051264,0.02958051264,0.02958051264,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,227
1,-0.013128,-0.013128,-0.013128,-0.013128,-0.013128,-0.013128,0,0,0,0,0,0,0,0,0.0267997,0.0267997,0.0267997,0.0267997,0.0267997,0.0267997,0,0.02984239106,0.02984239106,0.02984239106,0.02984239106,0.02984239106,0.02984239106,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,228
1,-0.0132412,-0.0132412,-0.0132412,-0.0132412,-0.0132412,-0.0132412,0,0,0,0,0,0,0,0,0.027037,0.027037,0.027037,0.027037,0.027037,0.027037,0,0.03010529433,0.03010529433,0.03010529433,0.03010529433,0.03010529433,0.03010529433,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,229
1,-0.0133551,-0.0133551,-0.0133551,-0.0133551,-0.0133551,-0.0133551,0,0,0,0,0,0,0,0,0.027275,0.027275,0.027275,0.027275,0.027275,0.027275,0,0.03036913435,0.03036913435,0.03036913435,0.03036913435,0.03036913435,0.03036913435,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,230
1,-0.01347,-0.01347,-0.01347,-0.01347,-0.01347,-0.01347,0,0,0,0,0,0,0,0,0.0275136,0.0275136,0.0275136,0.0275136,0.0275136,0.0275136,0,0.03063395314,0.03063395314,0.03063395314,0.03063395314,0.03063395314,0.03063395314,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,231
1,-0.0135857,-0.0135857,-0.0135857,-0.0135857,-0.0135857,-0.0135857,0,0,0,0,0,0,0,0,0.027753,0.027753,0.027753,0.027753,0.027753,0.027753,0,0.03089984229,0.03089984229,0.03089984229,0.03089984229,0.03089984229,0.03089984229,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,232
1,-0.0137022,-0.0137022,-0.0137022,-0.0137022,-0.0137022,-0.0137022,0,0,0,0,0,0,0,0,0.0279931,0.0279931,0.0279931,0.0279931,0.0279931,0.0279931,0,0.03116671193,0.03116671193,0.03116671193,0.03116671193,0.03116671193,0.03116671193,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,233
1,-0.0138194,-0.0138194,-0.0138194,-0.0138194,-0.0138194,-0.0138194,0,0,0,0,0,0,0,0,0.0282341,0.0282341,0.0282341,0.0282341,0.0282341,0.0282341,0,0.03143469769,0.03143469769,0.03143469769,0.03143469769,0.03143469769,0.03143469769,0,5,5,5,5,5,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,234
